time	V(n001)	-I(V1)
Step Information: X=1  (Run: 1/5)
2.202148437500000e-001	3.655992e-001	1.101941e-004
2.280273437500000e-001	2.726111e-001	8.308099e-005
2.358398437500000e-001	1.769976e-001	5.437146e-005
2.426757812500000e-001	9.190550e-002	2.835100e-005
2.495117187500000e-001	6.135654e-003	1.895641e-006
2.553710937500000e-001	-6.744138e-002	-2.081916e-005
2.631835937500000e-001	-1.649069e-001	-5.069586e-005
2.709960937500000e-001	-2.607843e-001	-7.956955e-005
2.788085937500000e-001	-3.541502e-001	-1.069083e-004
2.866210937500000e-001	-4.441054e-001	-1.322575e-004
2.885742187500000e-001	-4.659590e-001	-1.382394e-004
2.963867187500000e-001	-5.504372e-001	-1.606047e-004
3.041992187500000e-001	-6.296145e-001	-1.803059e-004
3.129882812500000e-001	-7.114054e-001	-1.991103e-004
3.217773437500000e-001	-7.845271e-001	-2.142866e-004
3.315429687500000e-001	-8.545258e-001	-2.269358e-004
3.413085937500000e-001	-9.116717e-001	-2.353074e-004
3.520507812500000e-001	-9.586674e-001	-2.398639e-004
3.627929687500000e-001	-9.882203e-001	-2.399157e-004
3.735351562500000e-001	-9.997929e-001	-2.358639e-004
3.842773437500000e-001	-9.931746e-001	-2.281047e-004
3.950195312500000e-001	-9.684856e-001	-2.170157e-004
4.057617187500000e-001	-9.261754e-001	-2.029509e-004
4.165039062500000e-001	-8.670136e-001	-1.862429e-004
4.272460937500000e-001	-7.920767e-001	-1.672069e-004
4.379882812500000e-001	-7.027283e-001	-1.461461e-004
4.487304687500000e-001	-6.005939e-001	-1.233574e-004
4.594726562500000e-001	-4.875318e-001	-9.913542e-005
4.702148437500000e-001	-3.655992e-001	-7.377571e-005
4.809570312500000e-001	-2.370147e-001	-4.757631e-005
4.916992187500000e-001	-1.041177e-001	-2.083822e-005
4.995117187500000e-001	-6.135731e-003	-1.227161e-006
5.000000000000000e-001	0.000000e+000	-4.814825e-039
Step Information: X=3  (Run: 3/5)
0.000000000000000e+000	-2.449213e-016	-4.898425e-020
4.101562500000044e-003	1.284933e-001	2.570962e-005
8.398437500000106e-003	2.607843e-001	5.224907e-005
1.269531250000017e-002	3.883304e-001	7.797849e-005
1.699218750000023e-002	5.088110e-001	1.024924e-004
2.128906250000029e-002	6.200339e-001	1.253965e-004
2.558593750000035e-002	7.199754e-001	1.463113e-004
2.988281250000041e-002	8.068172e-001	1.648764e-004
3.417968750000047e-002	8.789791e-001	1.807551e-004
3.847656250000053e-002	9.351483e-001	1.936389e-004
4.277343750000059e-002	9.743027e-001	2.032532e-004
4.707031250000066e-002	9.957299e-001	2.093632e-004
5.136718750000063e-002	9.990401e-001	2.117810e-004
5.566406250000039e-002	9.841731e-001	2.103730e-004
5.996093750000014e-002	9.513992e-001	2.050681e-004
6.425781249999990e-002	9.013149e-001	1.958661e-004
6.855468749999966e-002	8.348315e-001	1.828453e-004
7.246093749999943e-002	7.611737e-001	1.678306e-004
7.636718749999921e-002	6.760672e-001	1.499818e-004
8.027343749999899e-002	5.807921e-001	1.295491e-004
8.417968749999877e-002	4.767813e-001	1.068443e-004
8.808593749999855e-002	3.655992e-001	8.223626e-005
9.199218749999832e-002	2.489182e-001	5.614507e-005
9.589843749999810e-002	1.284933e-001	2.903186e-005
9.941406249999790e-002	1.840604e-002	4.161161e-006
1.021484374999978e-001	-6.744138e-002	-1.524450e-005
1.060546874999975e-001	-1.890616e-001	-4.268609e-005
1.099609374999973e-001	-3.078381e-001	-6.934808e-005
1.138671874999971e-001	-4.219844e-001	-9.475300e-005
1.154296874999970e-001	-4.659590e-001	-1.044625e-004
1.193359374999968e-001	-5.707592e-001	-1.273752e-004
1.232421874999966e-001	-6.669748e-001	-1.480501e-004
1.271484374999963e-001	-7.531585e-001	-1.661696e-004
1.310546874999961e-001	-8.280139e-001	-1.814772e-004
1.353515624999959e-001	-8.959325e-001	-1.948384e-004
1.396484374999956e-001	-9.475499e-001	-2.043920e-004
1.439453124999954e-001	-9.819269e-001	-2.100523e-004
1.482421874999951e-001	-9.984380e-001	-2.118126e-004
1.525390624999949e-001	-9.967828e-001	-2.097380e-004
1.568359374999946e-001	-9.769914e-001	-2.039566e-004
1.611328124999944e-001	-9.394239e-001	-1.946519e-004
1.654296874999942e-001	-8.847638e-001	-1.820545e-004
1.697265624999939e-001	-8.140057e-001	-1.664358e-004
1.740234374999937e-001	-7.284369e-001	-1.481013e-004
1.783203124999934e-001	-6.296145e-001	-1.273856e-004
1.826171874999932e-001	-5.193365e-001	-1.046470e-004
1.869140624999929e-001	-3.996091e-001	-8.026327e-005
1.912109374999927e-001	-2.726111e-001	-5.462773e-005
1.955078124999924e-001	-1.406530e-001	-2.814495e-005
1.998046874999922e-001	-6.135731e-003	-1.227152e-006
2.000000000000000e-001	0.000000e+000	-1.504630e-040
Step Information: X=4  (Run: 4/5)
0.000000000000000e+000	-2.449213e-016	-4.898425e-020
2.050781250000022e-003	1.284933e-001	2.570413e-005
4.199218750000053e-003	2.607843e-001	5.220287e-005
6.347656250000083e-003	3.883304e-001	7.782158e-005
8.496093750000114e-003	5.088110e-001	1.021244e-004
1.064453125000014e-002	6.200339e-001	1.246930e-004
1.279296875000018e-002	7.199754e-001	1.451328e-004
1.494140625000021e-002	8.068172e-001	1.630783e-004
1.708984375000024e-002	8.789791e-001	1.782001e-004
1.923828125000027e-002	9.351483e-001	1.902097e-004
2.138671875000030e-002	9.743027e-001	1.988661e-004
2.353515625000033e-002	9.957299e-001	2.039809e-004
2.568359375000032e-002	9.990401e-001	2.054241e-004
2.783203125000019e-002	9.841731e-001	2.031286e-004
2.998046875000007e-002	9.513992e-001	1.970941e-004
3.212890624999995e-002	9.013149e-001	1.873905e-004
3.427734374999983e-002	8.348315e-001	1.741600e-004
3.642578124999971e-002	7.531585e-001	1.576168e-004
3.857421874999958e-002	6.577820e-001	1.380459e-004
4.072265624999946e-002	5.504372e-001	1.157997e-004
4.287109374999934e-002	4.330775e-001	9.129196e-005
4.501953124999922e-002	3.078381e-001	6.498993e-005
4.716796874999910e-002	1.769976e-001	3.740438e-005
4.912109374999898e-002	5.519317e-002	1.166887e-005
5.107421874999887e-002	-6.744138e-002	-1.425805e-005
5.302734374999876e-002	-1.890616e-001	-3.995111e-005
5.517578124999864e-002	-3.194900e-001	-6.744200e-005
5.732421874999852e-002	-4.441054e-001	-9.360145e-005
5.771484374999850e-002	-4.659590e-001	-9.817438e-005
5.986328124999837e-002	-5.807921e-001	-1.221096e-004
6.201171874999825e-002	-6.850579e-001	-1.436647e-004
6.416015624999813e-002	-7.768592e-001	-1.624421e-004
6.630859374999801e-002	-8.545258e-001	-1.781072e-004
6.845703124999789e-002	-9.166446e-001	-1.903940e-004
7.060546874999776e-002	-9.620852e-001	-1.991079e-004
7.275390624999764e-002	-9.900209e-001	-2.041267e-004
7.490234374999752e-002	-9.999435e-001	-2.053997e-004
7.705078124999740e-002	-9.916724e-001	-2.029457e-004
7.919921874999727e-002	-9.653581e-001	-1.968495e-004
8.134765624999715e-002	-9.214793e-001	-1.872577e-004
8.349609374999703e-002	-8.608345e-001	-1.743733e-004
8.564453124999691e-002	-7.845271e-001	-1.584510e-004
8.779296874999679e-002	-6.939453e-001	-1.397909e-004
8.994140624999666e-002	-5.907375e-001	-1.187330e-004
9.208984374999654e-002	-4.767813e-001	-9.565113e-005
9.423828124999642e-002	-3.541502e-001	-7.094709e-005
9.638671874999630e-002	-2.250754e-001	-4.504455e-005
9.853515624999618e-002	-9.190550e-002	-1.838313e-005
9.990234374999610e-002	-6.135731e-003	-1.227149e-006
1.000000000000000e-001	0.000000e+000	-3.320303e-025
Step Information: X=5  (Run: 5/5)
0.000000000000000e+000	-2.449213e-016	-4.898465e-020
1.025390625000011e-003	1.284933e-001	2.570139e-005
2.099609375000026e-003	2.607843e-001	5.217984e-005
3.173828125000042e-003	3.883304e-001	7.774366e-005
4.248046875000057e-003	5.088110e-001	1.019426e-004
5.322265625000072e-003	6.200339e-001	1.243478e-004
6.396484375000087e-003	7.199754e-001	1.445589e-004
7.470703125000103e-003	8.068172e-001	1.622108e-004
