time	V(n001)	I(I1)
Step Information: X=1  (Run: 1/5)
1.796500000003789e-001	3.476167e+000	9.038884e-005
2.009500000004239e-001	3.483249e+000	9.528840e-005
2.096500000004422e-001	3.485376e+000	9.680339e-005
2.320500000004895e-001	3.488945e+000	9.936466e-005
2.396500000005055e-001	3.489552e+000	9.978861e-005
2.621500000005530e-001	3.489599e+000	9.970873e-005
2.696500000005688e-001	3.489035e+000	9.923879e-005
2.921500000006163e-001	3.485571e+000	9.651353e-005
2.996500000006321e-001	3.483810e+000	9.517337e-005
3.221500000006796e-001	3.476596e+000	8.989928e-005
3.296500000006954e-001	3.473509e+000	8.773639e-005
3.484500000007351e-001	3.464120e+000	8.147029e-005
3.596500000007588e-001	3.457296e+000	7.719131e-005
3.751500000007915e-001	3.446120e+000	7.064400e-005
3.890500000008208e-001	3.434124e+000	6.420117e-005
3.896500000008221e-001	3.433559e+000	6.391168e-005
4.020500000008482e-001	3.420894e+000	5.773162e-005
4.131500000008717e-001	3.407752e+000	5.190119e-005
4.196500000008854e-001	3.399125e+000	4.836796e-005
4.290500000009052e-001	3.385214e+000	4.311726e-005
4.376500000009234e-001	3.370730e+000	3.818125e-005
4.454500000009398e-001	3.355836e+000	3.360763e-005
4.496500000009487e-001	3.346997e+000	3.111077e-005
4.564500000009630e-001	3.331251e+000	2.702307e-005
4.626500000009761e-001	3.315069e+000	2.325288e-005
4.683500000009881e-001	3.298332e+000	1.975547e-005
4.736500000009993e-001	3.280838e+000	1.648066e-005
4.786500000010099e-001	3.262278e+000	1.337440e-005
4.796500000010120e-001	3.258291e+000	1.275147e-005
4.842500000010217e-001	3.238601e+000	9.879872e-006
4.886500000010310e-001	3.217397e+000	7.125371e-006
4.928500000010399e-001	3.194575e+000	4.490966e-006
4.969500000010485e-001	3.169398e+000	1.916254e-006
5.009500000010569e-001	3.141563e+000	-5.968990e-007
5.044500000010643e-001	3.114098e+000	-2.795653e-006
5.074500000010707e-001	3.087897e+000	-4.679263e-006
5.096500000010753e-001	3.066935e+000	-6.059559e-006
5.120500000010804e-001	3.042216e+000	-7.564006e-006
5.142500000010850e-001	3.017717e+000	-8.941580e-006
5.162500000010892e-001	2.993801e+000	-1.019244e-005
5.181500000010932e-001	2.969537e+000	-1.137928e-005
5.199500000010970e-001	2.945085e+000	-1.250215e-005
5.216500000011006e-001	2.920619e+000	-1.356118e-005
5.232500000011040e-001	2.896322e+000	-1.455650e-005
5.247500000011072e-001	2.872386e+000	-1.548828e-005
5.262500000011103e-001	2.847295e+000	-1.641868e-005
5.277500000011135e-001	2.821019e+000	-1.734763e-005
5.291500000011165e-001	2.795400e+000	-1.821325e-005
5.305500000011194e-001	2.768702e+000	-1.907747e-005
5.320500000011226e-001	2.738881e+000	-2.000178e-005
5.335500000011257e-001	2.707783e+000	-2.092431e-005
5.350500000011289e-001	2.675389e+000	-2.184498e-005
5.366500000011323e-001	2.639394e+000	-2.282489e-005
5.383500000011359e-001	2.599503e+000	-2.386351e-005
5.396500000011386e-001	2.567846e+000	-2.465592e-005
5.416500000011428e-001	2.517184e+000	-2.587179e-005
5.439500000011477e-001	2.455976e+000	-2.726497e-005
5.467500000011536e-001	2.377197e+000	-2.895330e-005
5.503500000011612e-001	2.269032e+000	-3.111077e-005
5.560500000011732e-001	2.082017e+000	-3.449378e-005
