time	V(n001)	I(C1)
Step Information: X=1  (Run: 1/5)
9.840202896501574e-003	8.395761e-001	4.799232e-005
1.054020289650159e-002	8.724263e-001	4.573187e-005
1.124020289650161e-002	9.034132e-001	4.267639e-005
1.194020289650163e-002	9.319983e-001	3.887899e-005
1.264020289650165e-002	9.576844e-001	3.440569e-005
1.334020289650167e-002	9.800252e-001	2.933425e-005
1.404020289650169e-002	9.986321e-001	2.375285e-005
1.474020289650171e-002	1.013182e+000	1.775851e-005
1.544020289650173e-002	1.023421e+000	1.145544e-005
1.614020289650175e-002	1.029172e+000	4.953225e-006
1.674020289650177e-002	1.030452e+000	-6.929789e-007
1.744020289650179e-002	1.027663e+000	-7.263957e-006
1.814020289650181e-002	1.020312e+000	-1.370865e-005
1.884020289650183e-002	1.008527e+000	-1.991503e-005
1.954020289650185e-002	9.925127e-001	-2.577519e-005
2.024020289650187e-002	9.725475e-001	-3.118725e-005
2.094020289650189e-002	9.489784e-001	-3.605713e-005
2.164020289650191e-002	9.222153e-001	-4.030016e-005
2.234020289650193e-002	8.927234e-001	-4.384259e-005
2.304020289650195e-002	8.610154e-001	-4.662283e-005
2.374020289650197e-002	8.276426e-001	-4.859254e-005
2.444020289650199e-002	7.931851e-001	-4.971748e-005
2.514020289650201e-002	7.582420e-001	-4.997810e-005
2.584020289650203e-002	7.234207e-001	-4.936986e-005
2.654020289650205e-002	6.893266e-001	-4.790334e-005
2.724020289650207e-002	6.565524e-001	-4.560403e-005
2.794020289650209e-002	6.256679e-001	-4.251191e-005
2.864020289650211e-002	5.972100e-001	-3.868073e-005
2.934020289650213e-002	5.716735e-001	-3.417709e-005
2.944020289650214e-002	5.682905e-001	-3.348325e-005
3.014020289650216e-002	5.466329e-001	-2.830759e-005
3.084020289650218e-002	5.287759e-001	-2.263981e-005
3.154020289650220e-002	5.150300e-001	-1.657844e-005
3.224020289650222e-002	5.056341e-001	-1.022886e-005
3.294020289650224e-002	5.007516e-001	-3.701448e-006
3.324020289650224e-002	5.000629e-001	-8.776142e-007
3.333333333333340e-002	5.000001e-001	0.000000e+000
Step Information: X=4  (Run: 4/5)
0.000000000000000e+000	5.000000e-001	0.000000e+000
3.899999999999980e-004	5.012188e-001	6.109825e-006
7.899999999999990e-004	5.049015e-001	1.228035e-005
1.190000000000000e-003	5.110167e-001	1.825720e-005
1.590000000000001e-003	5.194681e-001	2.394613e-005
1.990000000000002e-003	5.301222e-001	2.925742e-005
2.390000000000003e-003	5.428112e-001	3.410730e-005
2.790000000000004e-003	5.573349e-001	3.841928e-005
3.190000000000005e-003	5.734642e-001	4.212537e-005
3.590000000000006e-003	5.909448e-001	4.516711e-005
3.990000000000007e-003	6.095009e-001	4.749655e-005
4.390000000000009e-003	6.288401e-001	4.907694e-005
4.790000000000010e-003	6.486572e-001	4.988335e-005
5.190000000000011e-003	6.686397e-001	4.990307e-005
5.590000000000012e-003	6.884725e-001	4.913579e-005
5.990000000000013e-003	7.078429e-001	4.759361e-005
6.390000000000014e-003	7.264453e-001	4.530085e-005
6.790000000000015e-003	7.439864e-001	4.229368e-005
7.190000000000016e-003	7.601895e-001	3.861950e-005
7.590000000000017e-003	7.747991e-001	3.433627e-005
7.990000000000018e-003	7.875848e-001	2.951154e-005
8.390000000000019e-003	7.983450e-001	2.422139e-005
8.790000000000020e-003	8.069100e-001	1.854926e-005
9.190000000000021e-003	8.131446e-001	1.258459e-005
9.590000000000022e-003	8.169506e-001	6.421457e-006
9.990000000000023e-003	8.182680e-001	1.570546e-007
1.039000000000002e-002	8.170760e-001	-6.109825e-006
1.079000000000003e-002	8.133932e-001	-1.228035e-005
1.119000000000003e-002	8.072780e-001	-1.825720e-005
1.159000000000001e-002	7.988267e-001	-2.394613e-005
1.199000000000000e-002	7.881725e-001	-2.925742e-005
1.238999999999998e-002	7.754835e-001	-3.410730e-005
1.278999999999997e-002	7.609599e-001	-3.841928e-005
1.318999999999995e-002	7.448305e-001	-4.212537e-005
1.358999999999993e-002	7.273499e-001	-4.516711e-005
1.398999999999992e-002	7.087938e-001	-4.749655e-005
1.438999999999990e-002	6.894547e-001	-4.907694e-005
1.478999999999988e-002	6.696375e-001	-4.988335e-005
1.518999999999987e-002	6.496550e-001	-4.990307e-005
1.558999999999985e-002	6.298221e-001	-4.913579e-005
1.598999999999983e-002	6.104518e-001	-4.759361e-005
1.638999999999982e-002	5.918494e-001	-4.530085e-005
1.678999999999980e-002	5.743083e-001	-4.229368e-005
1.718999999999979e-002	5.581052e-001	-3.861950e-005
1.758999999999977e-002	5.434956e-001	-3.433627e-005
1.798999999999975e-002	5.307099e-001	-2.951154e-005
1.838999999999974e-002	5.199497e-001	-2.422139e-005
1.878999999999972e-002	5.113847e-001	-1.854926e-005
1.918999999999970e-002	5.051501e-001	-1.258459e-005
1.958999999999969e-002	5.013441e-001	-6.421457e-006
1.998999999999967e-002	5.000047e-001	-1.570690e-007
2.000000000000000e-002	5.000008e-001	0.000000e+000
Step Information: X=5  (Run: 5/5)
0.000000000000000e+000	5.000001e-001	1.734723e-018
1.899999999999992e-004	5.005804e-001	5.953917e-006
3.899999999999997e-004	5.023910e-001	1.212805e-005
5.900000000000003e-004	5.054187e-001	1.811091e-005
7.900000000000008e-004	5.096158e-001	2.380815e-005
9.900000000000013e-004	5.149164e-001	2.912992e-005
1.190000000000002e-003	5.212365e-001	3.399230e-005
1.390000000000002e-003	5.284768e-001	3.831860e-005
1.590000000000003e-003	5.365229e-001	4.204059e-005
1.790000000000003e-003	5.452480e-001	4.509958e-005
1.990000000000004e-003	5.545143e-001	4.744731e-005
2.190000000000004e-003	5.641760e-001	4.904678e-005
